Trainingsplan DL - Protocol - Version 1.0
Deadlift - Progressive Overload - 2 Variant Style;;;;
DateTime;Style;Repetitions;Sets;Weight
2025-12-01;Weights;8;3;20
2025-12-02;Weights;9;3;20
2025-12-03;Bands;9;3;20
2025-12-04;Weights;10;3;20
2025-12-05;Weights;11;3;20
2025-12-06;Bands;12;3;20
2025-12-07;Bands;12;3;20
2025-12-08;Weights;8;3;40
2025-12-09;Weights;9;3;40
2025-12-10;Bodyweight;9;3;-
2025-12-11;Bands;10;3;40
2025-12-12;Weights;11;3;40
2025-12-13;Weights;12;3;40
2025-12-14;Weights;12;3:40
2025-12-15;Weights;12;3;40
2025-12-16;Bands;8;3;60
2025-12-17;Bands;9;3;60
